id,text,label,label_name,category,source,code_mix_type,cleaned_text,word_count,cleaned_word_count,char_length,cmi,tanglish_pct,english_pct
46,State government launched Magalir Urimai Thogai scheme providing monthly financial assistance to eligible women.,0,Real,Politics,News Portal,English-Mixed,state government launched magalir urimai thogai scheme providing monthly financial assistance to eligible women,14,14,112,0.0,0.0,100.0
47,Cold water drinking after meal will turn oil into cancer substance inside stomach share with family immediately.,1,Fake,Health Misinformation,WhatsApp,Tanglish,cold water drinking after meal will turn oil into cancer substance inside stomach share with family immediately,17,17,112,0.0,0.0,100.0
48,Indian Railways launched Vande Bharat Express service connecting Chennai Central and Coimbatore junction.,0,Real,Transport,News Portal,English-Mixed,indian railways launched vande bharat express service connecting chennai central and coimbatore junction,13,13,105,0.0,0.0,100.0
49,Govt is giving free solar panel setup for all houses across Tamil Nadu apply via this viral apk app.,1,Fake,Phishing Scam,WhatsApp,Tanglish,govt is giving free solar panel setup for all houses across tamil nadu apply via this viral apk app,19,19,100,0.0,0.0,100.0
50,Regional Meteorological Centre Chennai predicted light to moderate rainfall over coastal districts of Tamil Nadu.,0,Real,Weather News,News Portal,English-Mixed,regional meteorological centre chennai predicted light to moderate rainfall over coastal districts of tamil nadu,15,15,113,0.0,0.0,100.0
51,"News Update: Whatsapp la share aagura message: 5G tower rays vandhu sparrows and birds ah kill pannuthu, immediate ah stop panna solranga.",1,Fake,Tech Rumor,WhatsApp,Tanglish,news update: whatsapp la share aagura message: 5g tower rays vandhu sparrows and birds ah kill pannuthu immediate ah stop panna solranga,22,22,138,20.0,20.0,80.0
52,Report: TN Government announced tomorrow local holiday for Chennai schools due to heavy rain forecast by IMD.,0,Real,Weather News,News Portal,English-Mixed,report: tn government announced tomorrow local holiday for chennai schools due to heavy rain forecast by imd,17,17,109,0.0,0.0,100.0
53,Viral Forward: Intha kashayam kudicha 2 days la COVID and virus fully cure aayidum no need for hospital visit bro.,1,Fake,Health Misinformation,WhatsApp,Tanglish,viral forward: intha kashayam kudicha 2 days la covid and virus fully cure aayidum no need for hospital visit bro,20,20,114,29.4,29.4,70.6
54,"Social Alert: ISRO successfully launched the Chandrayaan-3 mission from Sriharikota, historic moment for India.",0,Real,Science,Twitter/X,English-Mixed,social alert: isro successfully launched the chandrayaan-3 mission from sriharikota historic moment for india,14,14,111,0.0,0.0,100.0
55,News Update: Urgent alert: Govt is freezing all bank accounts if you don't link Aadhaar card within tonight 12 PM link below.,1,Fake,Financial Scam,WhatsApp,Tanglish,news update: urgent alert: govt is freezing all bank accounts if you don't link aadhaar card within tonight 12 pm link below,22,22,125,0.0,0.0,100.0
56,Report: RBI increased the repo rate by 25 basis points to control inflation in the current quarter.,0,Real,Finance,News Portal,English-Mixed,report: rbi increased the repo rate by 25 basis points to control inflation in the current quarter,17,17,99,0.0,0.0,100.0
57,Viral Forward: Onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip.,1,Fake,Health Misinformation,YouTube,Tanglish,viral forward: onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip,18,18,103,20.0,20.0,80.0
58,Social Alert: Anna University published the semester exam results on their official web portal today afternoon.,0,Real,Education,Twitter/X,English-Mixed,social alert: anna university published the semester exam results on their official web portal today afternoon,16,16,111,0.0,0.0,100.0
59,News Update: Breaking news: UNESCO declared Tamil as the best and most traditional language in the world award 2026.,1,Fake,Social Media Rumor,Facebook,Tanglish,news update: breaking news: unesco declared tamil as the best and most traditional language in the world award 2026,19,19,116,0.0,0.0,100.0
60,Report: Chennai Metro Railway announced extended train operational hours for IPL cricket match spectators tonight.,0,Real,Transport,News Portal,English-Mixed,report: chennai metro railway announced extended train operational hours for ipl cricket match spectators tonight,15,15,114,0.0,0.0,100.0
61,Viral Forward: Pluto planet eppo Earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video.,1,Fake,Science Hoax,YouTube,Tanglish,viral forward: pluto planet eppo earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video,19,19,125,23.5,23.5,76.5
62,Social Alert: Southern Railway announced special express trains between Chennai Central and Tiruchirappalli for Diwali festival.,0,Real,Transport,News Portal,English-Mixed,social alert: southern railway announced special express trains between chennai central and tiruchirappalli for diwali festival,16,16,128,0.0,0.0,100.0
63,News Update: New rule by TRAI: Daily 2 hours internet shutdown across India from tomorrow night 1 AM to 3 AM for satellite repair.,1,Fake,Tech Rumor,WhatsApp,Tanglish,news update: new rule by trai: daily 2 hours internet shutdown across india from tomorrow night 1 am to 3 am for satellite repair,24,24,130,0.0,0.0,100.0
64,Report: TANGEDCO announced scheduled power outage in select areas of Madurai for transformer maintenance work.,0,Real,Public Utility,News Portal,English-Mixed,report: tangedco announced scheduled power outage in select areas of madurai for transformer maintenance work,15,15,110,0.0,0.0,100.0
65,Viral Forward: Free Rs.5000 recharge for all mobile users on PM Modi birthday celebration click this website link immediately.,1,Fake,Phishing Scam,WhatsApp,Tanglish,viral forward: free rs.5000 recharge for all mobile users on pm modi birthday celebration click this website link immediately,19,19,126,0.0,0.0,100.0
66,Social Alert: Indian Cricket Team announced the 15-player squad for the upcoming ICC World Cup tournament.,0,Real,Sports,Twitter/X,English-Mixed,social alert: indian cricket team announced the 15-player squad for the upcoming icc world cup tournament,16,16,106,0.0,0.0,100.0
67,News Update: Drinking boiled banana peel water every morning will cancel diabetes in just 7 days without insulin.,1,Fake,Health Misinformation,Facebook,Tanglish,news update: drinking boiled banana peel water every morning will cancel diabetes in just 7 days without insulin,18,18,113,0.0,0.0,100.0
68,Report: Madras High Court issued notice to local civic body regarding road pothole repairs before monsoon season.,0,Real,Judiciary,News Portal,English-Mixed,report: madras high court issued notice to local civic body regarding road pothole repairs before monsoon season,17,17,113,0.0,0.0,100.0
69,Viral Forward: NASA confirms 3 days of total darkness across Earth due to solar storm next week forward to all family groups.,1,Fake,Science Hoax,WhatsApp,Tanglish,viral forward: nasa confirms 3 days of total darkness across earth due to solar storm next week forward to all family groups,22,22,125,0.0,0.0,100.0
70,Social Alert: Reserve Bank of India issued guidelines warning citizens against sharing OTP and PIN details with fraudsters.,0,Real,Finance,News Portal,English-Mixed,social alert: reserve bank of india issued guidelines warning citizens against sharing otp and pin details with fraudsters,18,18,123,0.0,0.0,100.0
71,"News Update: Intha App download panna unga bank account la daily Rs.1000 credit aagum, 100% government verified bro.",1,Fake,Financial Scam,Telegram,Tanglish,news update: intha app download panna unga bank account la daily rs.1000 credit aagum 100% government verified bro,18,18,116,42.9,42.9,57.1
72,Report: Tamil Nadu Directorate of Public Health issued advisory on dengue prevention during rainy season.,0,Real,Health,News Portal,English-Mixed,report: tamil nadu directorate of public health issued advisory on dengue prevention during rainy season,15,15,105,0.0,0.0,100.0
73,Viral Forward: Eating garlic with honey at night will permanently eliminate all types of cancer cells within two weeks.,1,Fake,Health Misinformation,WhatsApp,Tanglish,viral forward: eating garlic with honey at night will permanently eliminate all types of cancer cells within two weeks,19,19,119,0.0,0.0,100.0
74,Social Alert: ISRO successfully launched the Aditya-L1 solar observation satellite towards Sun Earth L1 point.,0,Real,Science,Twitter/X,English-Mixed,social alert: isro successfully launched the aditya-l1 solar observation satellite towards sun earth l1 point,15,15,110,0.0,0.0,100.0
75,News Update: Govt is secretly installing microchips in new 2000 rupee notes to track black money from satellite.,1,Fake,Tech Rumor,WhatsApp,Tanglish,news update: govt is secretly installing microchips in new 2000 rupee notes to track black money from satellite,18,18,112,0.0,0.0,100.0
76,Report: Tamil Nadu Chief Minister inaugurated new flyover project in Coimbatore to reduce city traffic congestion.,0,Real,Politics,News Portal,English-Mixed,report: tamil nadu chief minister inaugurated new flyover project in coimbatore to reduce city traffic congestion,16,16,114,0.0,0.0,100.0
77,Viral Forward: WhatsApp unga private messages and photos ah Facebook ad network ku sell panranga immediately uninstall pannunga.,1,Fake,Tech Rumor,WhatsApp,Tanglish,viral forward: whatsapp unga private messages and photos ah facebook ad network ku sell panranga immediately uninstall pannunga,18,18,128,18.8,18.8,81.2
78,Social Alert: State Bank of India updated YONO mobile banking application with enhanced security features for users.,0,Real,Finance,News Portal,English-Mixed,social alert: state bank of india updated yono mobile banking application with enhanced security features for users,17,17,116,0.0,0.0,100.0
79,News Update: Neengal intha forward message 10 contacts ku send panna ungaluku Rs.500 talktime free ah milikkum.,1,Fake,Social Media Hoax,WhatsApp,Tanglish,news update: neengal intha forward message 10 contacts ku send panna ungaluku rs.500 talktime free ah milikkum,17,17,111,30.8,30.8,69.2
80,Report: Chennai Corporation announced free vaccination camp for pets in all zonal veterinary clinics.,0,Real,Public Health,News Portal,English-Mixed,report: chennai corporation announced free vaccination camp for pets in all zonal veterinary clinics,14,14,101,0.0,0.0,100.0
81,Viral Forward: Plastic rice and artificial egg sell panranga supermarkets la parthu vanggunga video proof attached.,1,Fake,Food Hoax,Facebook,Tanglish,viral forward: plastic rice and artificial egg sell panranga supermarkets la parthu vanggunga video proof attached,16,16,115,28.6,28.6,71.4
82,Social Alert: IIT Madras researchers developed new low-cost water purification system using nanotechnology.,0,Real,Science,News Portal,English-Mixed,social alert: iit madras researchers developed new low-cost water purification system using nanotechnology,13,13,107,0.0,0.0,100.0
83,News Update: Night la phone charging podum podu earphone use panna battery blast aagi brain damage aagum mandatory alert.,1,Fake,Tech Rumor,WhatsApp,Tanglish,news update: night la phone charging podum podu earphone use panna battery blast aagi brain damage aagum mandatory alert,19,19,121,23.5,23.5,76.5
84,Report: Chennai Airport commissioned new integrated passenger terminal building for international flights.,0,Real,Infrastructure,News Portal,English-Mixed,report: chennai airport commissioned new integrated passenger terminal building for international flights,12,12,106,0.0,0.0,100.0
85,Viral Forward: Free Laptop distribution for all college students under National Digital Youth scheme fill google form link.,1,Fake,Phishing Scam,WhatsApp,Tanglish,viral forward: free laptop distribution for all college students under national digital youth scheme fill google form link,18,18,123,0.0,0.0,100.0
86,Social Alert: Tamil Nadu Public Service Commission TNPSC published notification for Group 4 recruitment examination.,0,Real,Education,News Portal,English-Mixed,social alert: tamil nadu public service commission tnpsc published notification for group 4 recruitment examination,15,15,116,0.0,0.0,100.0
87,News Update: Salt water la lemon and turmeric potu gargle panna multi variant viruses 10 seconds la death aagum.,1,Fake,Health Misinformation,WhatsApp,Tanglish,news update: salt water la lemon and turmeric potu gargle panna multi variant viruses 10 seconds la death aagum,19,19,112,31.2,31.2,68.8
88,Report: Reserve Bank of India introduced digital rupee e-Rupee pilot project for retail transactions in major cities.,0,Real,Finance,News Portal,English-Mixed,report: reserve bank of india introduced digital rupee e-rupee pilot project for retail transactions in major cities,17,17,117,0.0,0.0,100.0
89,Viral Forward: UNESCO selected Chennai city bus conductor as world best employee award share max to support Tamil pride.,1,Fake,Social Media Rumor,Facebook,Tanglish,viral forward: unesco selected chennai city bus conductor as world best employee award share max to support tamil pride,19,19,120,0.0,0.0,100.0
90,Social Alert: Metrowater announced 24 hour water supply disruption in Zone 5 and 6 for pipeline replacement work.,0,Real,Public Utility,News Portal,English-Mixed,social alert: metrowater announced 24 hour water supply disruption in zone 5 and 6 for pipeline replacement work,18,18,113,0.0,0.0,100.0
91,News Update: 5G SIM card insert panna unga phone overall storage double aagum free feature enabled by telecom companies.,1,Fake,Tech Rumor,YouTube,Tanglish,news update: 5g sim card insert panna unga phone overall storage double aagum free feature enabled by telecom companies,19,19,120,17.6,17.6,82.4
92,Report: Madurai Kamaraj University announced admissions open for post-graduate distance education courses.,0,Real,Education,News Portal,English-Mixed,report: madurai kamaraj university announced admissions open for post-graduate distance education courses,12,12,106,0.0,0.0,100.0
93,Viral Forward: Neem leaf juice mix with black pepper will completely prevent heart attacks forever doctor secret revealed.,1,Fake,Health Misinformation,WhatsApp,Tanglish,viral forward: neem leaf juice mix with black pepper will completely prevent heart attacks forever doctor secret revealed,18,18,122,0.0,0.0,100.0
94,Social Alert: Tamil Nadu Electricity Board completed 100% smart meter installation trial phase in select districts.,0,Real,Public Utility,News Portal,English-Mixed,social alert: tamil nadu electricity board completed 100% smart meter installation trial phase in select districts,16,16,115,0.0,0.0,100.0
95,News Update: Govt planning to ban all old 4G smartphones from next month to force people buy 5G phones fast.,1,Fake,Tech Rumor,WhatsApp,Tanglish,news update: govt planning to ban all old 4g smartphones from next month to force people buy 5g phones fast,20,20,108,0.0,0.0,100.0
96,Report: State government launched Magalir Urimai Thogai scheme providing monthly financial assistance to eligible women.,0,Real,Politics,News Portal,English-Mixed,report: state government launched magalir urimai thogai scheme providing monthly financial assistance to eligible women,15,15,120,0.0,0.0,100.0
97,Viral Forward: Cold water drinking after meal will turn oil into cancer substance inside stomach share with family immediately.,1,Fake,Health Misinformation,WhatsApp,Tanglish,viral forward: cold water drinking after meal will turn oil into cancer substance inside stomach share with family immediately,19,19,127,0.0,0.0,100.0
98,Social Alert: Indian Railways launched Vande Bharat Express service connecting Chennai Central and Coimbatore junction.,0,Real,Transport,News Portal,English-Mixed,social alert: indian railways launched vande bharat express service connecting chennai central and coimbatore junction,15,15,119,0.0,0.0,100.0
99,News Update: Govt is giving free solar panel setup for all houses across Tamil Nadu apply via this viral apk app.,1,Fake,Phishing Scam,WhatsApp,Tanglish,news update: govt is giving free solar panel setup for all houses across tamil nadu apply via this viral apk app,21,21,113,0.0,0.0,100.0
100,Report: Regional Meteorological Centre Chennai predicted light to moderate rainfall over coastal districts of Tamil Nadu.,0,Real,Weather News,News Portal,English-Mixed,report: regional meteorological centre chennai predicted light to moderate rainfall over coastal districts of tamil nadu,16,16,121,0.0,0.0,100.0
101,"Viral Forward: Whatsapp la share aagura message: 5G tower rays vandhu sparrows and birds ah kill pannuthu, immediate ah stop panna solranga.",1,Fake,Tech Rumor,WhatsApp,Tanglish,viral forward: whatsapp la share aagura message: 5g tower rays vandhu sparrows and birds ah kill pannuthu immediate ah stop panna solranga,22,22,140,20.0,20.0,80.0
102,Social Alert: TN Government announced tomorrow local holiday for Chennai schools due to heavy rain forecast by IMD.,0,Real,Weather News,News Portal,English-Mixed,social alert: tn government announced tomorrow local holiday for chennai schools due to heavy rain forecast by imd,18,18,115,0.0,0.0,100.0
103,News Update: Intha kashayam kudicha 2 days la COVID and virus fully cure aayidum no need for hospital visit bro.,1,Fake,Health Misinformation,WhatsApp,Tanglish,news update: intha kashayam kudicha 2 days la covid and virus fully cure aayidum no need for hospital visit bro,20,20,112,29.4,29.4,70.6
104,"Report: ISRO successfully launched the Chandrayaan-3 mission from Sriharikota, historic moment for India.",0,Real,Science,Twitter/X,English-Mixed,report: isro successfully launched the chandrayaan-3 mission from sriharikota historic moment for india,13,13,105,0.0,0.0,100.0
105,Viral Forward: Urgent alert: Govt is freezing all bank accounts if you don't link Aadhaar card within tonight 12 PM link below.,1,Fake,Financial Scam,WhatsApp,Tanglish,viral forward: urgent alert: govt is freezing all bank accounts if you don't link aadhaar card within tonight 12 pm link below,22,22,127,0.0,0.0,100.0
106,Social Alert: RBI increased the repo rate by 25 basis points to control inflation in the current quarter.,0,Real,Finance,News Portal,English-Mixed,social alert: rbi increased the repo rate by 25 basis points to control inflation in the current quarter,18,18,105,0.0,0.0,100.0
107,News Update: Onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip.,1,Fake,Health Misinformation,YouTube,Tanglish,news update: onion juice la lemon mix panni kudicha 100% hair loss permanent ah stop aagum viral tip,18,18,101,20.0,20.0,80.0
108,Report: Anna University published the semester exam results on their official web portal today afternoon.,0,Real,Education,Twitter/X,English-Mixed,report: anna university published the semester exam results on their official web portal today afternoon,15,15,105,0.0,0.0,100.0
109,Viral Forward: Breaking news: UNESCO declared Tamil as the best and most traditional language in the world award 2026.,1,Fake,Social Media Rumor,Facebook,Tanglish,viral forward: breaking news: unesco declared tamil as the best and most traditional language in the world award 2026,19,19,118,0.0,0.0,100.0
110,Social Alert: Chennai Metro Railway announced extended train operational hours for IPL cricket match spectators tonight.,0,Real,Transport,News Portal,English-Mixed,social alert: chennai metro railway announced extended train operational hours for ipl cricket match spectators tonight,16,16,120,0.0,0.0,100.0
111,News Update: Pluto planet eppo Earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video.,1,Fake,Science Hoax,YouTube,Tanglish,news update: pluto planet eppo earth pakkathula varudho appo free electricity get panni namma use pannalam bro viral video,19,19,123,23.5,23.5,76.5
112,Report: Southern Railway announced special express trains between Chennai Central and Tiruchirappalli for Diwali festival.,0,Real,Transport,News Portal,English-Mixed,report: southern railway announced special express trains between chennai central and tiruchirappalli for diwali festival,15,15,122,0.0,0.0,100.0
113,Viral Forward: New rule by TRAI: Daily 2 hours internet shutdown across India from tomorrow night 1 AM to 3 AM for satellite repair.,1,Fake,Tech Rumor,WhatsApp,Tanglish,viral forward: new rule by trai: daily 2 hours internet shutdown across india from tomorrow night 1 am to 3 am for satellite repair,24,24,132,0.0,0.0,100.0
114,Social Alert: TANGEDCO announced scheduled power outage in select areas of Madurai for transformer maintenance work.,0,Real,Public Utility,News Portal,English-Mixed,social alert: tangedco announced scheduled power outage in select areas of madurai for transformer maintenance work,16,16,116,0.0,0.0,100.0
115,News Update: Free Rs.5000 recharge for all mobile users on PM Modi birthday celebration click this website link immediately.,1,Fake,Phishing Scam,WhatsApp,Tanglish,news update: free rs.5000 recharge for all mobile users on pm modi birthday celebration click this website link immediately,19,19,124,0.0,0.0,100.0
